WORK ORDER,LOCATION,OUTPUT TO,ASSIGNED TO,SERVICE TYPE,SCHEDULE DATE,SYMPTOM/TASK
23490253,"Commons Apartments: 8B - Entire Unit, 8B Unit ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/29/2026,Has BG on the couch and both bedroom mattresses. Can we get it either replaced or fixed for move-ins. Thank you!!!
23490077,"Centennial Courts Apartments: 1123 - Entire Area, Building 11 second floor, common area bathroom ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/29/2026,Common area bathroom has covering in the ceiling from water damage and needs to be fixed
23487999,"Moore Hall - School of Business: 202 - Women's Restroom, 202 Moore Hall",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/28/2026,Replace ceiling tiles as needed. Also need to have the window in the handicap stall fixed as it is leaning inwards allowing bugs and weather elements to come inside
23487993,"Moore Hall - School of Business: 203 - Future Student Workspace, 203 Moore Hall",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/28/2026,Requesting bacterial cleaning service and replacement of ceiling tiles as needed
23487502,"Scholars Inn Apartments: 1813 - Entire Area, Hallway",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/28/2026,Please remediate the small BG spot on the ceiling in the hallway next to the light.
23485260,"Scholars Inn Apartments: 2413 - Entire Area, Entire apartment",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/27/2026,"Please replace all vents in the common area, bedrooms 1, 2, & 3; and in shower 2."
23484791,"Allied Health: Entire Building, 2nd fl East-West hallway
Rms 105, 212, 217, 229, 230, 232, Basement, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/27/2026,"Move chairs from 2nd fl east-west hallway to rms 211 (2 or 3), basement (2 or 3), lecture hall 105 (7 (5 back of room, 2 near podium), and additional chairs to surplus. Move bookcase from rm 231 to receptionist office rm 215 near copier Move 3 standing desks from rm 217 storage area to surplus Move standing desk from rm 229 to surplus"
23484320,"Commons Apartments: 11G - Entire Unit, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/27/2026,Replace Bent Bedframe. Pull from Scholars Basement. Please trash old bent frame. Thank You
23484103,"Agriculture Research & Extension Ed. Complex: E. L Holloway room 323, 302",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/27/2026,"Good morning, Could you please assist us with moving furniture that is currently positioned too close to the wall, preventing access to the electrical outlets and network wall jacks? The furniture needs to be moved slightly away from the wall to allow proper access to these connections. Thank you for your assistance."
23481296,"Scholars Inn Apartments: 1911 - Entire Area, Shower 1 &2",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor Re-Work,7/26/2026,Please assess BG in the showers Reference work order: 23286990
23481271,"Scholars Inn Apartments: 1224 - Entire Area, Shower 1 & 2",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor Re-Work,7/26/2026,Replace towel bars in showers 1 & 2 Reference work order: 23277654
